,eyebrow,eye,nose,forehead
0,0.326912815,0.178124931,0.031291322,0.141278354
1,0.321456126,0.179806901,0.031211256,0.144894934
2,0.337998633,0.191779823,0.030811133,0.132668905
3,0.314326052,0.184571605,0.036166115,0.147142695
4,0.330027746,0.190005182,0.038078715,0.148060725
5,0.347412849,0.183243035,0.034744205,0.141959019
6,0.325392967,0.18974264,0.035125235,0.134828745
7,0.332191542,0.174965247,0.032485673,0.133021321
8,0.332239841,0.177146353,0.035709838,0.140849543
9,0.324978507,0.177464657,0.032991546,0.14418414
10,0.349926961,0.194403713,0.034705898,0.134794539
11,0.32972926,0.189012488,0.031494401,0.130231072
12,0.324384787,0.17004263,0.031193492,0.122859232
13,0.331979084,0.179723068,0.031699369,0.136058213
15,0.315866055,0.179424172,0.033504134,0.13998158
16,0.321526033,0.187898491,0.030416951,0.133822561
17,0.340433252,0.189515645,0.038892669,0.158059857
19,0.322979465,0.184195189,0.036959047,0.144233361
20,0.319374396,0.185426896,0.032816591,0.140645679
22,0.325931568,0.178336443,0.038406783,0.141708021
23,0.325803616,0.183505894,0.030496366,0.135857311
24,0.327313532,0.175789344,0.031537854,0.138307459
25,0.335192047,0.183611435,0.04003513,0.15501355
26,0.320889673,0.187023184,0.039400781,0.154220313
27,0.316565364,0.17977591,0.030865146,0.139844682
28,0.32851624,0.18377396,0.040238343,0.133915094
29,0.331583782,0.177969896,0.036618527,0.133528123
30,0.321615801,0.178788486,0.035578616,0.142078127
31,0.334724195,0.186989352,0.037481596,0.14681452
32,0.342937873,0.178158597,0.033022224,0.130686159
33,0.346507377,0.186923943,0.035277823,0.14760659
34,0.332510734,0.178329982,0.034331434,0.136473208
35,0.331524437,0.1819445,0.039437196,0.149766645
36,0.328836452,0.17808302,0.038453813,0.141278601
37,0.335660352,0.188872388,0.032213719,0.138933824
38,0.327614858,0.183875417,0.035159355,0.140210747
39,0.326905061,0.18164383,0.034221155,0.132394132
40,0.336206897,0.182488593,0.033075031,0.1485349
41,0.329022089,0.181098689,0.032166643,0.136873073
42,0.317129588,0.173374864,0.030610919,0.129797879
43,0.324083077,0.183641429,0.039094807,0.138991125
44,0.330942418,0.18602239,0.037927775,0.153729954
45,0.324594694,0.174796822,0.035387619,0.141841128
46,0.326425792,0.178907529,0.033399757,0.138649614
47,0.32242432,0.187991498,0.032800096,0.134234633
48,0.315409586,0.183701465,0.039618389,0.158432169
49,0.331799876,0.178716937,0.033395818,0.134712011
50,0.342246399,0.187823616,0.03731044,0.14360212
51,0.327508802,0.184187798,0.036965947,0.147994024
52,0.333942485,0.18108689,0.03420096,0.137362883
53,0.326569832,0.18387772,0.037472778,0.155871284
54,0.333306767,0.185690105,0.032798092,0.144779633
55,0.310898764,0.172055039,0.037593631,0.134080815
56,0.333370375,0.191997075,0.035937523,0.149379208
57,0.335778275,0.189196225,0.040315371,0.142273549
58,0.333376211,0.179369719,0.035298391,0.137026526
59,0.320463697,0.184689232,0.031846003,0.137969388
60,0.335233911,0.175826958,0.041174871,0.157299752
61,0.339020163,0.192471399,0.036927475,0.15089597
63,0.333631509,0.192730077,0.039381983,0.146390069
64,0.327779041,0.189687798,0.039548237,0.162301091
65,0.330732239,0.186674311,0.034806821,0.138042848
66,0.337058003,0.183095908,0.032441497,0.139174774
67,0.332319325,0.184998528,0.034229062,0.147157312
68,0.32628735,0.188508439,0.035556147,0.141286503
69,0.340064352,0.190140028,0.038690708,0.14896728
70,0.333291824,0.188632543,0.039458706,0.163268936
71,0.334482015,0.175950268,0.036160884,0.147786914
72,0.322821742,0.184971435,0.0354282,0.141355901
73,0.324405497,0.17399812,0.033494331,0.134941276
74,0.335066949,0.180458466,0.030466758,0.136618213
75,0.323744077,0.185354377,0.035812799,0.149379691
76,0.310555765,0.180670097,0.036445928,0.142862587
77,0.330292186,0.183148862,0.038641494,0.151954479
78,0.337159222,0.192877162,0.038099799,0.139060566
79,0.326723966,0.182015494,0.036523954,0.148962913
80,0.329717827,0.183602024,0.036271241,0.138633702
81,0.326122396,0.189559888,0.037882649,0.149402353
82,0.32806732,0.186643998,0.036384103,0.139791323
84,0.337264337,0.17601502,0.032434093,0.131049724
85,0.332715493,0.177274777,0.039149238,0.146385413
86,0.319473586,0.184436372,0.032223763,0.143620926
87,0.33225028,0.183547113,0.033537067,0.137256604
88,0.32893441,0.181811094,0.037527052,0.135117235
89,0.327870252,0.190545839,0.037234374,0.142504691
90,0.317238843,0.180994929,0.031677838,0.138027616
91,0.326180886,0.189448101,0.042324809,0.158965026
92,0.325612122,0.170533407,0.030676975,0.126399103
93,0.331056454,0.180438162,0.031978857,0.118969721
94,0.33541216,0.185106228,0.035242291,0.140717617
95,0.317987822,0.188563479,0.034970366,0.143271042
96,0.331408045,0.17515783,0.039311122,0.151289511
97,0.33043275,0.177896016,0.028748998,0.136608971
98,0.318523173,0.175586729,0.03073526,0.135366335
99,0.325498056,0.177025817,0.041263089,0.136393058
100,0.33963557,0.181195329,0.03957184,0.148114418
101,0.321557363,0.185741721,0.035356561,0.139364227
102,0.332144915,0.185093867,0.033381747,0.136595355
103,0.317301171,0.18162977,0.038733428,0.150034404
104,0.322377011,0.17888162,0.035414968,0.144289154
105,0.329888529,0.186885304,0.040199942,0.153601984
106,0.331642791,0.188349775,0.041277968,0.15258571
107,0.331845891,0.19225591,0.039072349,0.148399354
108,0.324794599,0.185487262,0.037286819,0.147881756
109,0.323980825,0.175083849,0.033397019,0.142189674
110,0.32156453,0.185814207,0.033165467,0.154554582
111,0.337461903,0.177128048,0.034616068,0.137918233
112,0.315869902,0.178638258,0.034252323,0.139647486
113,0.327286208,0.183797029,0.03817434,0.157370863
114,0.33372129,0.175868064,0.035791004,0.142477936
115,0.339344505,0.195717061,0.039168532,0.160269002
116,0.335409854,0.171727836,0.035698986,0.144224576
117,0.326475477,0.19179076,0.039116386,0.135295349
118,0.325129877,0.172985648,0.032440343,0.136054531
119,0.325124794,0.192242766,0.039092149,0.151750714
120,0.324540449,0.184370906,0.031395064,0.135093359
121,0.318826152,0.1860976,0.038115549,0.138354582
122,0.319468124,0.18129037,0.031390217,0.13463679
124,0.345358222,0.188851405,0.03312837,0.146393775
125,0.317771541,0.176344406,0.036453459,0.140982978
126,0.326089763,0.185335452,0.043173302,0.15286824
127,0.335146866,0.194224471,0.036719586,0.130007745
128,0.339345881,0.177419349,0.033401025,0.133935318
129,0.33066451,0.184313809,0.033623522,0.142369627
130,0.328479232,0.185558617,0.034245043,0.137745729
131,0.324183134,0.181451493,0.031302309,0.138842658
132,0.32690797,0.188116266,0.034038895,0.137511683
133,0.340396009,0.183087449,0.033897009,0.128129348
134,0.334718122,0.193902302,0.035336539,0.14404071
135,0.330128076,0.185045016,0.034552786,0.145782287
136,0.322525875,0.188394661,0.035050094,0.155928975
137,0.333655087,0.186627582,0.034757724,0.141885422
138,0.320677002,0.181947172,0.03656176,0.142072975
139,0.33510035,0.18930435,0.037379286,0.14134634
140,0.331828981,0.183476441,0.031118986,0.136251541
141,0.329411461,0.183098385,0.039633724,0.162313681
143,0.327503363,0.180748382,0.034575577,0.143917699
144,0.328235396,0.179182669,0.032990047,0.139307755
145,0.322775719,0.18170439,0.034256688,0.152250945
146,0.323560617,0.186406938,0.034577316,0.145723884
148,0.321959273,0.193319592,0.042910562,0.162322993
149,0.33277658,0.190730679,0.034991062,0.146168621
150,0.329221126,0.189547229,0.039366773,0.13953532
151,0.332280812,0.178859805,0.032610305,0.148788521
152,0.317173681,0.178330348,0.033915749,0.14339652
153,0.33475774,0.177198305,0.034983285,0.140206043
154,0.33301504,0.184713328,0.040566919,0.152697625
155,0.309443783,0.174268971,0.036734353,0.140008927
156,0.329185071,0.184636357,0.034784757,0.141154742
157,0.341127882,0.193037242,0.039115248,0.141077654
158,0.329532238,0.18895976,0.037072559,0.144544748
159,0.324869784,0.177535417,0.03474468,0.130825839
160,0.326611425,0.180293041,0.030151389,0.141205216
161,0.333304497,0.184377352,0.031532061,0.137962765
162,0.333239306,0.179685686,0.040181669,0.155425798
163,0.322471502,0.17931262,0.03534912,0.148789198
164,0.323296002,0.183328599,0.034665196,0.13307715
165,0.325284515,0.184554641,0.035992637,0.142136698
166,0.329969315,0.193334339,0.035949433,0.140716579
167,0.344542515,0.190487792,0.036781136,0.140512062
168,0.342843468,0.189196078,0.040570153,0.147643168
169,0.333833615,0.186590665,0.035589355,0.158243169
170,0.309448227,0.178387725,0.029321107,0.134645791
172,0.32056425,0.183699147,0.038441049,0.144790657
173,0.3294187,0.184325363,0.034757872,0.13662477
174,0.323443737,0.183219182,0.036111896,0.150599072
175,0.326293181,0.181530352,0.034418465,0.140546858
176,0.332897474,0.184325595,0.030765831,0.136200322
177,0.316746018,0.179683906,0.036849319,0.136028571
178,0.327330065,0.186167648,0.028712468,0.123743335
179,0.328581168,0.183005848,0.033827169,0.151196267
180,0.318779618,0.185637511,0.03532941,0.142097229
181,0.327020619,0.186834245,0.032931324,0.128526235
182,0.315489121,0.191073419,0.037442284,0.149634892
183,0.325325574,0.184451925,0.038308859,0.149249817
184,0.328508689,0.183508396,0.031893841,0.127866007
185,0.321576451,0.188582242,0.039599771,0.153606716
186,0.322581477,0.185200124,0.035239522,0.147165493
187,0.325231723,0.182465258,0.03874796,0.15182924
188,0.324144086,0.182770189,0.035625043,0.135546859
189,0.332665773,0.186693834,0.033578716,0.149132439
190,0.331830085,0.190782306,0.034871485,0.140337557
191,0.334863453,0.182431374,0.038646066,0.141462835
192,0.323157709,0.17873775,0.036356099,0.155443857
194,0.319232486,0.182207323,0.032362159,0.14775342
195,0.323516891,0.181572123,0.034647597,0.136598825
196,0.328174958,0.190790113,0.035443297,0.143455777
197,0.316165609,0.175120918,0.031458868,0.135210925
198,0.320702823,0.18060421,0.031416733,0.12630968
199,0.332356147,0.180155452,0.037683254,0.143549931
200,0.33016476,0.176768509,0.030030011,0.125447176
201,0.331770101,0.184815544,0.034291337,0.148152985
202,0.32297522,0.180203777,0.031308062,0.13009752
203,0.326814532,0.183903244,0.035850125,0.152397579
