,eyebrow,eye,nose,forehead,,,eyebrow_rich,eyebrow_normal,eye_rich,eye_normal,nose_rich,nose_normal,forehead_rich,forehead_normal
0,0.342334112,0.176096185,0.036284869,0.120312149,,Q1,0.323387385,0.325468903,0.169920547,0.174290396,0.03266068,0.032826748,0.120048588,0.133527655
1,0.326939164,0.171202669,0.029958107,0.117660883,,Q2,0.331568945,0.330703947,0.174603175,0.178441281,0.03544376,0.03478599,0.126036679,0.139344855
2,0.310789912,0.178076293,0.030974124,0.121368764,,Q3,0.340953026,0.336624347,0.178738965,0.183496849,0.038683733,0.037033032,0.131926109,0.145765617
3,0.329115544,0.180493824,0.032085624,0.129849851,,Q4,0.360512226,0.353308022,0.190279647,0.196637498,0.046902738,0.043692593,0.148637341,0.163832928
4,0.315018213,0.175805673,0.038894092,0.126036679,,,,,,,,,,
5,0.306369903,0.174594243,0.034446775,0.138071293,,,,,,,,,,
6,0.322541897,0.174069876,0.031799867,0.128659236,,,,,,,,,,
7,0.331298786,0.171787333,0.029085944,0.113581686,,,,,,,,,,
8,0.34178501,0.164488191,0.029480225,0.125836917,,,,,,,,,,
9,0.320154461,0.169546848,0.030165043,0.131808264,,,,,,,,,,
10,0.330047078,0.179180148,0.034899871,0.123176295,,,,,,,,,,
11,0.323762873,0.174603175,0.031896305,0.117352103,,,,,,,,,,
12,0.327922203,0.182800074,0.036269569,0.130101284,,,,,,,,,,
13,0.320847075,0.182896856,0.035482865,0.128885345,,,,,,,,,,
14,0.329791994,0.166757411,0.032793185,0.131190637,,,,,,,,,,
15,0.343926874,0.178273303,0.032218662,0.118583765,,,,,,,,,,
16,0.318687883,0.179652099,0.033434167,0.135336176,,,,,,,,,,
17,0.333390572,0.17482093,0.035177366,0.137794812,,,,,,,,,,
18,0.329668315,0.180792903,0.032174199,0.121027865,,,,,,,,,,
19,0.334565834,0.167150833,0.04042657,0.127525932,,,,,,,,,,
20,0.342692578,0.17353681,0.03149966,0.117614833,,,,,,,,,,
21,0.311753493,0.17473529,0.033772414,0.114657317,,,,,,,,,,
23,0.318934121,0.175992412,0.032038711,0.112790771,,,,,,,,,,
24,0.331267439,0.167207735,0.027220386,0.112326308,,,,,,,,,,
25,0.33214732,0.169150717,0.034938013,0.121374562,,,,,,,,,,
26,0.320258115,0.17419616,0.034243091,0.130143843,,,,,,,,,,
27,0.328854326,0.186275821,0.036328648,0.135735263,,,,,,,,,,
28,0.324962051,0.173369486,0.036462163,0.130058184,,,,,,,,,,
29,0.313582228,0.17247373,0.037308405,0.115669505,,,,,,,,,,
30,0.332690633,0.176727702,0.042059365,0.130015794,,,,,,,,,,
31,0.345298778,0.169204346,0.039435397,0.129185035,,,,,,,,,,
32,0.323088093,0.171933049,0.040932872,0.134289966,,,,,,,,,,
33,0.326573514,0.174631456,0.033580096,0.138505959,,,,,,,,,,
34,0.337050787,0.164398987,0.032603412,0.123753975,,,,,,,,,,
35,0.337125762,0.178212083,0.040749458,0.13069663,,,,,,,,,,
36,0.319858149,0.172468586,0.043397134,0.136969384,,,,,,,,,,
37,0.330640655,0.175427974,0.035865627,0.125730232,,,,,,,,,,
38,0.339214543,0.175790849,0.037025917,0.128948821,,,,,,,,,,
39,0.326019909,0.177692742,0.046291143,0.135855486,,,,,,,,,,
40,0.340391719,0.177433858,0.034151984,0.129872148,,,,,,,,,,
41,0.317145645,0.177804686,0.035129667,0.135171699,,,,,,,,,,
43,0.337594483,0.172075712,0.03209449,0.11686185,,,,,,,,,,
44,0.325232052,0.176521559,0.02971066,0.126297495,,,,,,,,,,
45,0.341012075,0.178177071,0.028319911,0.123918661,,,,,,,,,,
46,0.328333815,0.162423107,0.043632838,0.143641453,,,,,,,,,,
47,0.348022568,0.184302728,0.034626259,0.123132979,,,,,,,,,,
48,0.323919404,0.172040477,0.033493554,0.133627908,,,,,,,,,,
49,0.342531213,0.183078735,0.038618987,0.125026852,,,,,,,,,,
50,0.317641696,0.172308887,0.037775214,0.123159103,,,,,,,,,,
